상호명,지점명,도로명주소,사업장명,소재지면적,위도,경도
GS25,곰달래로,서울특별시 강서구 곰달래로31길 16,GS25 곰달래로,3.30,37.5325093,126.8513006
세븐일레븐,화곡월정점,서울특별시 강서구 월정로30길 102,지에스25 화곡화원점,3.30,37.534873,126.8391703
GS25,화곡화원점,서울특별시 강서구 월정로30길 102,지에스25 화곡화원점,3.30,37.534873,126.8391703
CU,등촌오피스점,서울특별시 강서구 양천로66길 21,씨유 등촌오피스점,3.30,37.5543484,126.8652365
CU,염창로보점,서울특별시 강서구 공항대로71길 19,씨유 염창로보점,3.30,37.54837365,126.87205081809282
미니스톱,가양점,서울특별시 강서구 양천로 461,미니스톱가양점,6.60,37.5488695,126.8781594
GS25,염창세빛점,서울특별시 강서구 공항대로65길 51,GS25염창세빛,3.30,37.5503534,126.87000085046225
GS25,화곡타운점,서울특별시 강서구 강서로18라길 23,GS25 화곡타운점,3.30,37.5356947,126.8484063
CU,화곡소비자점,서울특별시 강서구 화곡로31길 53,씨유화곡 소비자점,7.00,37.5444787,126.8404758
GS25,방화행복점,서울특별시 강서구 양천로24길 93,GS25방화행복점,3.30,37.570935,126.8134114
CU,마곡사이언스타,서울특별시 강서구 마곡중앙6로 42,씨유 마곡사이언스타점,3.30,37.5603397,126.833454
CU,화곡천량점,서울특별시 강서구 곰달래로 260,씨유 화곡천량점,3.30,37.5312794,126.8548343
GS25,강서우림점,서울특별시 강서구 양천로 583,세븐일레븐 강서블루나인점,6.60,37.5571168,126.8640008
CU,방화행운점,서울특별시 강서구 방화대로45길 52,지에스25방화동부점,3.30,37.5744543,126.8138593
CU,마곡미라벨점,서울특별시 강서구 마곡서로 101,씨유 마곡미라벨점,3.30,37.5627017,126.8238633
CU,뉴화곡우리마을,서울특별시 강서구 강서로7길 107,CU(씨유)뉴화곡우리마을,3.30,37.5293488,126.8448368
GS25,등촌캐빈점,서울특별시 강서구 공항대로51길 17,지에스25등촌캐빈,3.30,37.5556522,126.8567811
세븐일레븐,강서공항점,서울특별시 강서구 송정로4길 1-1,세븐일레븐(공항점),3.30,37.5581449,126.814114
CU,마곡미라클점,서울특별시 강서구 방화대로34길 60,씨유 마곡미라클점,3.30,37.5701427,126.8193294
CU,마곡엠팰리체,서울특별시 강서구 마곡동로4길 15,CU마곡엠팰리체,3.30,37.5595076,126.8354829
CU,등촌심미점,서울특별시 강서구 공항대로59다길 1,씨유 등촌심미점,3.30,37.5533546,126.8645555
세븐일레븐,롯데스카이파크점,서울특별시 강서구 하늘길 38,세븐일레븐(롯데스카이파크점),6.60,37.5676744,126.8020277
세븐일레븐,롯데스카이파크점,서울특별시 강서구 하늘길 38,(주)이마트24 김포공항,6.60,37.5676744,126.8020277
세븐일레븐,김포국제공항국제선청사점,서울특별시 강서구 하늘길 38,세븐일레븐(롯데스카이파크점),6.60,37.5676744,126.8020277
세븐일레븐,김포국제공항국제선청사점,서울특별시 강서구 하늘길 38,(주)이마트24 김포공항,6.60,37.5676744,126.8020277
GS25,김포공항역점,서울특별시 강서구 하늘길 38,세븐일레븐(롯데스카이파크점),6.60,37.5676744,126.8020277
GS25,김포공항역점,서울특별시 강서구 하늘길 38,(주)이마트24 김포공항,6.60,37.5676744,126.8020277
세븐일레븐,화곡사랑,서울특별시 강서구 초록마을로34길 85,세븐일레븐 화곡사랑,3.30,37.5375548,126.8455
GS25,화곡그린힐점,서울특별시 강서구 초록마을로 89,지에스25 화곡그린힐점,3.30,37.5457012,126.8454576
CU,화곡곰달래점,서울특별시 강서구 곰달래로49길 15,CU화곡곰달래점,3.30,37.5372656,126.853675
세븐일레븐,등촌스타점,서울특별시 강서구 화곡로 404,세븐일레븐 등촌스타점,3.30,37.55926865,126.85445821074887
세븐일레븐,화곡현대점,서울특별시 강서구 초록마을로30길 7,세븐일레븐 화곡현대점,3.30,37.5376376,126.8487054
세븐일레븐,화곡본동점,서울특별시 강서구 초록마을로14길 37,세븐일레븐 화곡본동점,6.60,37.5410864,126.8487019
미니스톱,강서IT점,서울특별시 강서구 공항대로44길 11,미니스톱 강서IT점,9.00,37.55558485,126.85092970000001
세븐일레븐,마곡홈앤쇼핑점,서울특별시 강서구 공항대로 140,세븐일레븐 마곡홈앤쇼핑점,3.30,37.55931425,126.8225462
GS25,마곡12단지점,서울특별시 강서구 공항대로 140,세븐일레븐 마곡홈앤쇼핑점,3.30,37.55931425,126.8225462
세븐일레븐,강서중앙점,서울특별시 강서구 공항대로46길 35,세븐일레븐 강서중앙점,3.30,37.5529815,126.8515087
CU,강서스타점,서울특별시 강서구 강서로54길 90,씨유강서스타점,3.30,37.5585815,126.84362415710298
CU,화곡트윈캐슬점,서울특별시 강서구 초록마을로 71,씨유 화곡트윈캐슬점,7.00,37.536725,126.8483271
