상호명,지점명,도로명주소,경도,위도
CU,마곡더랜드점,서울특별시 강서구 마곡중앙로 161-8,126.8273842,37.5631274
CU,발산오피스점,서울특별시 강서구 마곡중앙8로 86,126.8368212,37.5608999
CU,마곡엠코점,서울특별시 강서구 강서로 471,126.838587,37.5596089
GS25,강서메르디앙점,서울특별시 강서구 공항대로38길 106,126.8388087,37.5578472
미니스톱,강서하늘점,서울특별시 강서구 공항대로59다길 85,126.86804079999999,37.551895200000004
GS25,마곡플레이스점,서울특별시 강서구 강서로 395,126.8386387311638,37.561070099999995
GS25,염창빌리지점,서울특별시 강서구 양천로69길 19,126.8720968,37.5548311
CU,화곡드림점,서울특별시 강서구 초록마을로22길 82,126.8472371,37.538504
CU,강서다온점,서울특별시 강서구 화곡로13길 111,126.8332143328852,37.544863199999995
CU,화곡미래점,서울특별시 강서구 초록마을로 122,126.8483271,37.536725
CU,방화오피스점,서울특별시 강서구 개화동로27가길 33,126.8071596,37.5633028
CU,마곡바이셀프점,서울특별시 강서구 양천로47길 94,126.8372549,37.576279
GS25,마곡힐스테이트점,서울특별시 강서구 공항대로 269-15,126.8124407,37.5612563
세븐일레븐,강서KC대학교점,서울특별시 강서구 까치산로24길 47,126.8526031,37.5491521
GS25,마곡유림점,서울특별시 강서구 강서로 419,126.838587,37.5596089
GS25,화곡세화점,서울특별시 강서구 곰달래로25길 8,126.8490879,37.5314071
세븐일레븐,김포국제공항국제선청사점,서울특별시 강서구 하늘길 38,126.8020277,37.5676744
세븐일레븐,강서화곡다솜점,서울특별시 강서구 강서로7길 102,126.8448368,37.5293488
CU,개화점,서울특별시 강서구 금낭화로 167,126.8122948,37.5761896
GS25,화곡드림점,서울특별시 강서구 우장산로16길 19,126.8494033,37.552314
GS25,가양2호점,서울특별시 강서구 허준로 47,126.84604363073136,37.570592500000004
GS25,강서타운점,서울특별시 강서구 화곡로 346,126.85202217427897,37.55454425
CU,염창1호점,서울특별시 강서구 양천로 713,126.8781594,37.5488695
CU,화곡초록마을점,서울특별시 강서구 강서로18다길 41,126.8481847,37.5352027
세븐일레븐,가양한림점,서울특별시 강서구 강서로 511,126.838587,37.5596089
CU,가양미르웰점,서울특별시 강서구 강서로68길 35,126.8442973,37.565529
GS25,등촌한마음점,서울특별시 강서구 공항대로58길 32,126.8625523,37.5505567
GS25,방화가온점,서울특별시 강서구 양천로11길 14,126.8096149,37.5747807
GS25,S9증미역점,서울특별시 강서구 양천로 560,126.8781594,37.5488695
GS25,강서으뜸점,서울특별시 강서구 강서로7길 45,126.8448368,37.5293488
GS25,화곡월정점,서울특별시 강서구 가로공원로76길 100,126.8378596,37.5348312
세븐일레븐,등촌두보점,서울특별시 강서구 공항대로58나길 40-44,126.8591093,37.5508208
GS25,염창신동아점,서울특별시 강서구 양천로67길 32,126.8691168,37.5561205
CU,방화1호점,서울특별시 강서구 방화대로52길 40,126.8182149,37.5777382
GS25,강서한빛점,서울특별시 강서구 양천로30길 32,126.8232718,37.5685205
GS25,마곡퍼스트점,서울특별시 강서구 마곡중앙로 76,126.8273842,37.5631274
GS25,LG사이언스파크점,서울특별시 강서구 마곡중앙10로 10,126.8345646,37.5637179
GS25,수명산4단지점,서울특별시 강서구 수명로1길 16,126.82334457495229,37.55121645
미니스톱,화곡엠파이어시티점,서울특별시 강서구 강서로 187,126.838587,37.5596089
미니스톱,우리동네점,서울특별시 강서구 강서로7길 89,126.8448368,37.5293488
미니스톱,화곡명월점,서울특별시 강서구 곰달래로 104,126.8548343,37.5312794
CU,화곡신월초교점,서울특별시 강서구 강서로31길 52,126.8411013,37.5406232
GS25,강서화곡로점,서울특별시 강서구 화곡로18길 31,126.8359689,37.5388791
GS25,강서트레벨점,서울특별시 강서구 양천로57길 9-19,126.8525348,37.5638076
GS25,염창현대점,서울특별시 강서구 양천로75길 50,126.875275,37.5507345
GS25,가양글로벌점,서울특별시 강서구 화곡로72길 62,126.8576311,37.5610046
미니스톱,강서공항점,서울특별시 강서구 공항대로8길 55,126.8122272,37.560912
CU,항공지원센터2호점,서울특별시 강서구 하늘길 70,126.8019904,37.5622213
GS25,편의점,서울특별시 강서구 양천로67길 32,126.8691168,37.5561205
세븐일레븐,강서하이웨이주유소점,서울특별시 강서구 공항대로 432,126.8124407,37.5612563
GS25,강서까치산점,서울특별시 강서구 강서로16길 22,126.8487482,37.5333984
세븐일레븐,발산W타워점,서울특별시 강서구 공항대로 222,126.8124407,37.5612563
CU,화곡미라클점,서울특별시 강서구 초록마을로5길 25,126.8476993,37.5438437
CU,방화역점,서울특별시 강서구 금낭화로 287-50,126.8122948,37.5761896
세븐일레븐,강서화곡신정점,서울특별시 강서구 등촌로13다길 32-18,126.8587021,37.535572
CU,강서붐호텔점,서울특별시 강서구 남부순환로 188,126.8196811,37.5485936
미니스톱,비즈메트로점,서울특별시 강서구 양천로 551-17,126.86096812022427,37.55916875
이마트24,마곡골든점,서울특별시 강서구 마곡중앙6로 89,126.833454,37.5603397
CU,강서도레미점,서울특별시 강서구 양천로26길 38,126.8175387,37.5727976
미니스톱,등촌우리점,서울특별시 강서구 등촌로39마길 24,126.8590101,37.546895
CU,화곡행복점,서울특별시 강서구 강서로17길 89,126.8455506,37.5334156
CU,등촌주공점,서울특별시 강서구 공항대로43길 39,126.8492138,37.5582554
GS25,가양데시앙점,서울특별시 강서구 양천로 418,126.8781594,37.5488695
CU,등촌원룸점,서울특별시 강서구 화곡로68길 132,126.8589126,37.557558
GS25,뉴내발산점,서울특별시 강서구 강서로45나길 59,126.8355195,37.550649899999996
세븐일레븐,강서화곡예스점,서울특별시 강서구 화곡로42길 35,126.8469033,37.546189
GS25,방화샤르망점,서울특별시 강서구 방화대로47가길 7,126.8145632,37.5799566
CU,화곡영광점,서울특별시 강서구 곰달래로53길 121,126.8579101,37.534548
CU,김포공항3호점,서울특별시 강서구 하늘길 111,126.8019904,37.5622213
세븐일레븐,강서화곡한솔점,서울특별시 강서구 까치산로17길 10,126.8491647,37.5482951
GS25,화곡열매점,서울특별시 강서구 곰달래로49길 56,126.853675,37.5372656
CU,목동먹자촌점,서울특별시 강서구 곰달래로60가길 4,126.8616077,37.5301461
GS25,마곡동익점,서울특별시 강서구 공항대로 195,126.8124407,37.5612563
CU,발산열린점,서울특별시 강서구 마곡중앙6로 93,126.8379486,37.5603203
CU,등촌5단지점,서울특별시 강서구 강서로62길 98,126.84331,37.56251
CU,송정역점,서울특별시 강서구 공항대로 43,126.8124407,37.5612563
GS25,화곡도래점,서울특별시 강서구 까치산로20길 11,126.8515411,37.5484273
CU,88체육관점,서울특별시 강서구 공항대로 376,126.84840136509956,37.5566809
CU,신월가로공원점,서울특별시 강서구 화곡로51길 13,126.8473132,37.5505701
CU,편의점,서울특별시 강서구 공항대로 509,126.8124407,37.5612563
GS25,마곡SB점,서울특별시 강서구 마곡중앙5로 81,126.8220048,37.5671609
GS25,공항다솔점,서울특별시 강서구 방화대로6마길 22,126.81786534400055,37.5540343
GS25,화곡공원점,서울특별시 강서구 화곡로42가길 9,126.8454576,37.5457012
GS25,등촌현대점,서울특별시 강서구 등촌로 163,126.8639552,37.5515987
GS25,강서센트레점,서울특별시 강서구 공항대로2길 25,126.8087674,37.5603892
CU,서울식물원점,서울특별시 강서구 마곡중앙로 136,126.8273842,37.5631274
세븐일레븐,S방화역점,서울특별시 강서구 금낭화로 132,126.8122948,37.5761896
세븐일레븐,화곡까치산로점,서울특별시 강서구 까치산로 29,126.85463,37.55493
CU,마곡투웨니점,서울특별시 강서구 강서로 443,126.838587,37.5596089
GS25,화곡가로공원점,서울특별시 강서구 가로공원로 217,126.8357507,37.5370449
CU,강서오토플렉스점,서울특별시 강서구 양천로 390,126.8781594,37.5488695
CU,마곡퀸즈점,서울특별시 강서구 공항대로 212,126.8124407,37.5612563
세븐일레븐,개화중앙점,서울특별시 강서구 개화동로9길 7,126.8010267,37.5791776
CU,마곡로뎀점,서울특별시 강서구 공항대로 186,126.8124407,37.5612563
미니스톱,화곡재성점,서울특별시 강서구 월정로20길 25,126.8421145,37.5298656
CU,강서가로공원점,서울특별시 강서구 가로공원로 216,126.8357507,37.5370449
CU,염창오피스점,서울특별시 강서구 공항대로 653-9,126.87752275155316,37.54784445
세븐일레븐,화곡푸르지오점,서울특별시 강서구 화곡로13길 107,126.83123357379043,37.543712049999996
세븐일레븐,마곡대방디엠,서울특별시 강서구 마곡동로10길 23,126.8386029,37.5686844
GS25,방화제일점,서울특별시 강서구 방화동로12길 14,126.8140655,37.5665894
세븐일레븐,마곡로뎀점,서울특별시 강서구 공항대로 186,126.8124407,37.5612563
세븐일레븐,가양9단지점,서울특별시 강서구 허준로 234,126.86314219500352,37.5583317
CU,화곡일등점,서울특별시 강서구 화곡로27가길 2,126.8418415,37.5430674
CU,이웰메디파크점,서울특별시 강서구 마곡중앙4로 74,126.8353024,37.5580856
세븐일레븐,화곡메인점,서울특별시 강서구 곰달래로49길 112,126.853675,37.5372656
CU,강서부민병원점,서울특별시 강서구 공항대로 389,126.85101948798082,37.556846050000004
세븐일레븐,화곡까치점,서울특별시 강서구 까치산로2길 3,126.8432784,37.5398184
미니스톱,등촌청림점,서울특별시 강서구 공항대로45길 44,126.856133,37.5575077
CU,마곡두산점,서울특별시 강서구 마곡서로 152,126.8243108,37.5634278
GS25,우장산스카이점,서울특별시 강서구 강서로 294,126.838587,37.5596089
GS25,공항소담점,서울특별시 강서구 방화대로6라길 26,126.81854583537428,37.5561316
GS25,김포공항역점,서울특별시 강서구 하늘길 38,126.8020277,37.5676744
GS25,강서메트로칸점,서울특별시 강서구 공항대로45가길 11,126.8538202,37.5562772
GS25,강서우장점,서울특별시 강서구 강서로45다길 35,126.8350302,37.54637925
세븐일레븐,강서화곡로점,서울특별시 강서구 화곡로 296,126.853233,37.5575476
CU,가양모터리움점,서울특별시 강서구 양천로53길 30,126.8464245,37.5658887
CU,메트로점,서울특별시 강서구 화곡로26가길 2,126.8379286,37.5398316
세븐일레븐,2872S개화산역점,서울특별시 강서구 양천로 22,126.8781594,37.5488695
GS25,발산에너지점,서울특별시 강서구 강서로56길 50,126.838934,37.5596199
GS25,국립항공박물관점,서울특별시 강서구 하늘길 112,126.8032963758545,37.55846185
GS25,등촌타운점,서울특별시 강서구 공항대로 543,126.8124407,37.5612563
CU,화곡시원점,서울특별시 강서구 가로공원로76길 38,126.8378596,37.5348312
CU,마곡9단지점,서울특별시 강서구 공항대로 103,126.8124407,37.5612563
세븐일레븐,등촌영일점,서울특별시 강서구 등촌로51가길 27,126.8623635,37.5478089
미니스톱,한강강서1점,서울특별시 강서구 양천로27길 280-11,126.8196767,37.580167
CU,염창JK블라썸호텔점,서울특별시 강서구 양천로65길 41-22,126.8667643,37.5560944
CU,강서마곡점,서울특별시 강서구 양천로47나길 7,126.8402751,37.5719509
