,정류소명,경도,위도
193,겸재정선미술관.서울식물원,126.8375146708,37.57058838
194,마곡실내배드민턴장,126.8300504998,37.5725390362
195,마곡실내배드민턴장,126.8319558638,37.5726747685
196,서남물재생센터,126.827910501,37.5729917324
197,서남물재생센터,126.8272995937,37.5726869369
198,서남환경공원.마곡청구아파트,126.8233293081,37.5732822116
199,서남환경공원.마곡청구아파트,126.822331957,37.573109762
200,방화동도시개발2단지아파트,126.8185240847,37.573249517
201,방화동도시개발2단지아파트,126.8190361849,37.5734774312
202,가양역10번출구,126.853055937,37.5619105072
203,방화동동부센트레빌아파트,126.8138643735,37.5733225126
204,방화동동부센트레빌아파트,126.814217,37.573528
205,방화사거리,126.8104923847,37.5730855678
206,방화사거리,126.809892,37.573287
207,개화산역,126.8060833577,37.572428722
208,개화산역,126.8052934018,37.5727710603
209,등촌3동천주교회,126.8456831887,37.5598916649
210,등촌3동천주교회,126.8460350791,37.5599579041
211,등촌3동5단지아파트.등촌고등학교,126.84519,37.561745
212,등촌3동5단지아파트.등촌고등학교,126.8455808289,37.5617730123
213,등촌3동주공4단지아파트,126.8430371521,37.5624040272
214,등촌동부영아파트,126.8431057704,37.5626095674
215,등촌3동주공10단지아파트,126.8474153204,37.5619664289
216,등촌3동대림아파트,126.8472923418,37.5623231025
217,마곡13단지힐스테이트아파트,126.8178706273,37.5567444402
218,다솔마을.강서농수산물도매시장,126.8198769197,37.5548179682
219,강서공업고등학교,126.8165203605,37.5756172414
220,방화동도시개발1.2단지아파트,126.8169913943,37.5751313839
221,서울항공비즈니스고등학교,126.8168322544,37.5695169119
222,서울항공비즈니스고등학교,126.8163793241,37.5689651724
223,공항중학교,126.8162550447,37.5634491761
224,공항중학교.마곡엠밸리9단지,126.81676,37.562458
225,양천향교역,126.8407487895,37.5670001354
226,방신전통시장,126.8126738174,37.5699847925
227,방화주유소,126.8125292434,37.5666910754
228,제과점앞,126.809804527,37.5604349434
229,공항동천주교회,126.811612,37.557387
230,강서한방병원,126.8390315329,37.5301259278
231,강서한방병원,126.8393407089,37.5299929864
232,강서한강자이아파트,126.8500718716,37.5663646057
233,강서구청별관,126.859807,37.561162
234,양천향교역,126.8408631191,37.5675112089
235,등촌주공1.2단지,126.8432438786,37.5658464733
236,등촌2단지부영아파트,126.8425802335,37.5638316499
237,등촌3.4단지,126.8417742982,37.5616751601
238,발산역3번출구,126.8391468181,37.5596783931
239,우장산동주민센터,126.8416541729,37.5478333029
240,문성유치원,126.844389496,37.5467844606
241,우장산투웨니퍼스트오피스텔,126.845917756,37.5471216719
242,가양7단지상가,126.861713,37.560708
243,등촌주공9단지,126.850602,37.561643
244,강서구민올림픽체육센터,126.850182,37.559912
245,등촌주공6단지,126.848477,37.560553
246,등현초등학교,126.846958,37.561208
247,가양7단지상가앞,126.8619155436,37.5607705057
248,우장산휴먼빌아파트,126.8434782256,37.5474383521
249,우장산동주민센터,126.8415089067,37.5480241401
250,양서1단지우장산아이파크이편한세상,126.8369118066,37.548013375
251,우장산파크빌,126.8451717474,37.5466719509
252,강서힐스테이트아파트,126.836963084,37.547853051
253,등촌주공6단지앞,126.848447,37.560355
254,강서구민올림픽체육센터,126.850322,37.559795
255,등촌9단지SBS공개홀,126.850932,37.561875
256,가양4.5단지상가앞,126.852823,37.563943
257,삼정그린코아아파트,126.8117011886,37.5715960686
258,강서농협,126.812847,37.567943
259,강서농협,126.812767,37.568388
260,서울방화초등학교,126.805304,37.568165
261,공항동주민센터,126.810557,37.55883
262,천주교성당,126.8123522209,37.5560299741
263,마곡나루역4번출구.서울식물원,126.8278114785,37.5650522841
264,마곡나루역5번출구.서울식물원,126.8274942732,37.5650503991
265,마곡역교차로,126.8284358686,37.5593675269
266,이대서울병원,126.8345591631,37.5587445659
267,김포공항국내선,126.8041241867,37.5588334267
268,김포공항국내선,126.8047524427,37.5583803167
269,김포공항국제선,126.801112,37.56531
270,김포공항국제선,126.8010312835,37.5649980309
271,발산역7번출구,126.837825234,37.5578843118
272,신방화역5번출구,126.8175575178,37.5673963434
273,마곡엠밸리6.7단지.마곡중학교,126.8212535617,37.5670855615
274,마곡나루역,126.8259403289,37.5667800574
275,마곡역,126.8268822544,37.5612219957
276,마곡역,126.827173,37.561329
277,마곡나루역1번출구.웰튼병원,126.8265562889,37.5669558738
278,마곡동로사거리,126.8314960803,37.5594674923
279,마곡엠밸리11.12단지,126.8214569455,37.5601213973
280,마곡13단지힐스테이트후문,126.8185665339,37.5565548603
281,공진초등학교,126.8216428956,37.5584322785
282,송정역,126.8122234956,37.5613200833
283,외발산동기점,126.8213321956,37.5452091516
284,한국공항공사,126.798872,37.562433
285,한국공항공사,126.798863,37.56242
286,개화동상사마을종점,126.80181,37.588697
287,마곡수명산파크7단지,126.8232307658,37.5492191755
288,마곡수명산파크5단지6단지,126.825449415,37.5514716063
289,마곡수명산파크2단지,126.8264227097,37.5549071083
290,마곡수명산파크2단지,126.826058,37.554787
291,마곡수명산파크3단지4단지,126.8252225589,37.55168483
292,마곡수명산파크7단지,126.822762,37.549322
293,마곡역6번출구,126.825491,37.559571
294,마곡역,126.8243287914,37.5602184256
295,화곡2동주민센터,126.8552226927,37.5313768831
296,화곡2동주민센터,126.8547625855,37.5311663625
297,마곡엠밸리14단지아파트,126.826412,37.557467
298,마곡엠밸리15단지아파트,126.8267496101,37.5574387588
299,발산역9번출구,126.8366889695,37.5588523216
300,공항동주민센터,126.810619,37.558964
301,신방화사거리,126.816922,37.572868
302,신방화사거리,126.8164460164,37.5728630927
303,방화2동우촌연립,126.8117126614,37.5701349
304,개화역광역환승센터,126.797811,37.57845
305,개화역광역환승센터,126.797978,37.57822
306,방화2동청성아파트,126.8118933674,37.5665639113
307,핑크힐병원,126.8755585298,37.5493147499
308,롯데몰.김포공항역,126.802865,37.562422
309,송정중학교정문,126.8162042491,37.5545212955
310,염창동주민센터,126.8710419747,37.553782124
311,대통마트,126.8560563182,37.5350552783
312,강원슈퍼,126.8569390185,37.5355970088
313,화곡보람3차아파트,126.8582737558,37.5364555609
314,에이엔케슬,126.859168675,37.5371360581
315,한광고,126.8584805675,37.5377930358
316,신정여상,126.8575411898,37.5372836881
317,명지해드는터아파트,126.8563782102,37.5365469849
318,동우아트빌,126.8558383469,37.5364453744
319,미주아파트,126.8549371793,37.5374138804
320,방송인아파트,126.85410904,37.5370334682
321,곰달래약국,126.858040957,37.5315199743
322,중앙하이츠빌라,126.8581894818,37.5307641322
323,곰달래아파트,126.8565274699,37.5295150061
324,삼성아파트,126.8541282205,37.5292192105
325,은창아파트,126.8518828439,37.5289352735
326,화곡전화국,126.8478041617,37.5293950543
327,까치산역4번출구,126.8459872958,37.5325726707
328,까치시장,126.8462779542,37.533742673
329,화곡탑건진선미아파트,126.846684939,37.5361311077
330,개나리슈퍼,126.8479875334,37.536604966
331,빨래세탁소,126.8491906586,37.537032727
332,공작세탁소,126.85452258,37.5364762303
333,주영렉스빌,126.8551211604,37.5359002645
334,대통마트,126.855997887,37.5348425483
335,국민약국,126.8578470281,37.5317540263
336,주영렉스빌,126.854983247,37.5358298097
337,약수터,126.85163932,37.5387776474
338,신광명마을,126.8240687003,37.5471082621
339,수명중고등학교,126.8240952322,37.549302466
340,마곡.수명산파크4단지,126.8244871379,37.550615042
341,방화중학교,126.8065584409,37.5642674199
342,한마음아파트,126.8680232498,37.5551078122
343,우성아파트앞,126.8708997,37.5555155833
344,우성아파트,126.8709494221,37.5555615934
345,봉제산정상,126.8517948391,37.5368113549
346,생태공원,126.8184521591,37.5834038379
347,NC백화점앞,126.8400698187,37.5594219779
348,염창역1번출구.강서평생학습관,126.8737556441,37.5472979883
349,명지해드는터아파트,126.8563184623,37.5366974117
350,하이웨이주유소,126.8541661911,37.554457141
351,서광아파트,126.8194426148,37.5788332307
352,마곡엠밸리7단지앞,126.8243935764,37.5655290975
353,대림아파트,126.8751414211,37.5483303142
354,하나마트,126.8531015943,37.5524923381
355,정곡초교,126.8186173155,37.5760007418
356,등명중학교,126.8429614647,37.5590951148
357,동아3차아파트,126.8760290974,37.5494621232
358,미주아파트,126.8551022133,37.5375050938
359,백연공원,126.8520877836,37.5506285112
360,방화4단지,126.813507,37.5769015679
361,등촌3동성당사거리,126.8458653593,37.5588259101
362,새마을금고,126.8732764729,37.5502377469
363,방송인아파트,126.8539239676,37.5369760423
364,KC대학교,126.851224259,37.5494785312
365,방화3동주민센터,126.8135874519,37.5785925502
366,등촌6단지,126.8476782843,37.5595698622
367,관음삼성.보람더하임아파트,126.8703832733,37.5524224634
368,공작세탁소,126.8544106552,37.5364247299
369,골목시장,126.850235687,37.5486194397
370,등촌9단지,126.8487623402,37.5614067814
371,염창중학교,126.8709339914,37.5533520946
372,대통마트,126.855893555,37.5349622669
373,SK브로드밴드강서방송,126.849284385,37.5478099476
374,정곡초교,126.8192213459,37.5757574729
375,강서세무서.공항초교,126.8205427685,37.5622606514
376,남부시장,126.857698479,37.5325197799
377,수정빌딩,126.8475435097,37.5460591227
378,다솔마을,126.8166371899,37.5544373278
379,화곡유치원,126.8461326678,37.5444216025
380,마곡엠밸리14단지,126.8256188032,37.5579919123
381,등촌7단지아파트,126.8528364747,37.5612659527
382,삼천리아파트,126.8698493274,37.5561740306
383,화곡중앙하이츠빌라,126.8580424207,37.5307477357
384,본동시장,126.8442200427,37.5428311336
385,마곡엠밸리14단지,126.8248516915,37.55835338
386,한서고등학교.보람아파트,126.8114926908,37.5748665364
387,한마음아파트,126.8678151019,37.5550445028
388,곰달래아파트,126.8572148649,37.5297942783
389,본동사무소,126.847974135,37.5426467961
390,볏골어린이공원,126.8422124206,37.5412470458
391,방신시장.LG베스트샵,126.8121203278,37.5733997171
392,마곡엠밸리11.12단지상가,126.8211341498,37.5587446136
393,삼성아파트,126.8542115306,37.5294337746
394,거성빌라,126.8490739183,37.5421787361
395,마곡13단지힐스테이트상가,126.8199110624,37.5579578917
396,겸재정선미술관입구,126.8376286494,37.5717978008
397,한국건강관리협회,126.8509971757,37.5538251223
398,이마트.증미역,126.8626080867,37.557180458
399,은창아파트,126.8518066697,37.5291208041
400,강서구립봉제산어르신복지센터,126.8502912541,37.5417729905
401,화곡본동시장,126.8427421191,37.5428192627
402,금호APT,126.8371204609,37.5743399784
403,강서구청입구,126.8496141991,37.5532043177
404,등촌강변샤르망오피스텔,126.8571485471,37.558624739
405,마곡13단지힐스테이트후문,126.8179906008,37.5567373931
406,대영마트,126.851055235,37.5405745983
407,우체국,126.8458108027,37.5442339003
408,벽산아파트,126.8367589013,37.5755640607
409,우장산꿈에그린아파트,126.8477997172,37.5532921022
410,등촌현대아파트,126.8550855865,37.5566172929
411,까치산역1번출구,126.8463346005,37.5326055625
412,정은파크빌,126.8514173531,37.540005562
413,화곡초교,126.8465565086,37.543584805
414,벽산아파트,126.8366173902,37.5755602606
415,롯데3차APT,126.8465770816,37.5528724125
416,하이웨이주유소,126.8540032996,37.5555697902
417,까치시장,126.8460803531,37.5335405699
418,약수터,126.8515080655,37.5387720758
419,금호APT,126.8369597981,37.574293801
420,강서구민회관,126.8442711774,37.5530658323
421,선교교회,126.8477612943,37.5343420215
422,겸재정선미술관입구,126.8374304603,37.5718308684
423,발산어린이집,126.8416539309,37.554367135
424,화곡탑건진선미아파트,126.8468187447,37.5359934136
425,삼거리,126.8501050323,37.5375447304
426,롯데1차,126.8405796,37.5544702163
427,개나리슈퍼,126.8480295731,37.5365203171
428,강서노인회관,126.8399795935,37.5545324812
429,빨래터세탁소,126.8492383261,37.5369625024
430,안골공원,126.8512590982,37.5359315073
431,우장산월드메르디앙아파트,126.8381369893,37.5547275427
432,방화동동부센트레빌아파트,126.8139764164,37.573289173
433,삼거리,126.8502333606,37.5373368223
434,강남슈퍼,126.8510240698,37.5351941142
435,프라임마트,126.8179218929,37.572833087
436,태창아파트,126.8508560508,37.5375766335
437,신정초교,126.8512080132,37.5325973854
438,정은파크빌,126.851506706,37.5400282017
439,마곡한솔솔파크,126.8224832996,37.5702705064
440,가양역,126.8556443698,37.5609107842
441,길훈아파트,126.8224296554,37.5687313134
442,마곡중학교,126.8205790796,37.5689981279
443,김포공항국내선,126.8033333929,37.5595403707
444,마곡나루역,126.8276308688,37.5671829205
445,롯데R&D센터,126.8278669032,37.5699126846
446,마곡나루역,126.8281467546,37.5662758355
447,메이필드호텔,126.8185609245,37.5471880752
448,대한항공,126.8145134806,37.550789026
449,대한항공,126.8150621212,37.5499834076
