상호명,지점명,도로명주소,단차/계단,확인불가
미니스톱,서울신주점,서울특별시 강서구 곰달래로31가길 80,0,0
GS25,S9염창역점,서울특별시 강서구 공항대로 631,0,1
GS25,S9공항시장역점,서울특별시 강서구 방화동로 30,0,1
세븐일레븐,화곡보노점,서울특별시 강서구 곰달래로57길 37,0,2
세븐일레븐,류마타워점,서울특별시 강서구 공항대로 164,0,2
CU,등촌능안점,서울특별시 강서구 등촌로39길 30,0,0
세븐일레븐,강서화곡대로점,서울특별시 강서구 강서로29길 27,0,2
GS25,염창E편한점,서울특별시 강서구 공항대로 583,0,0
GS25,등촌한올림점,서울특별시 강서구 화곡로64길 2,1,0
CU,NH서울타워점,서울특별시 강서구 양천로 570,0,1
GS25,화곡그랜드점,서울특별시 강서구 월정로32길 71,1,0
GS25,우장산점,서울특별시 강서구 우현로 17,0,0
세븐일레븐,마곡W타워점,서울특별시 강서구 마곡중앙1로 14,0,1
GS25,방화한숲점,서울특별시 강서구 방화대로50길 17,1,0
GS25,S9양천향교역점,서울특별시 강서구 양천로 341,0,1
CU,우장산힐스테이트점,서울특별시 강서구 공항대로38길 80,1,0
GS25,등촌센트럴점,서울특별시 강서구 공항대로59다길 39,0,0
CU,등촌3단지점,서울특별시 강서구 강서로56나길 37,1,0
세븐일레븐,강서염창점,서울특별시 강서구 양천로73가길 28,1,0
CU,강서웨스턴점,서울특별시 강서구 허준로 47,1,0
미니스톱,강서우장산점,서울특별시 강서구 강서로48길 47,1,0
GS25,방화초원로점,서울특별시 강서구 초원로 43,1,0
세븐일레븐,마곡호서대기숙사점,서울특별시 강서구 강서로 399,0,0
미니스톱,서울희망점,서울특별시 강서구 방화대로6길 33,1,3
GS25,곰달래로,서울특별시 강서구 곰달래로31길 16,1,0
GS25,마곡루체점,서울특별시 강서구 마곡동로4길 23,0,1
GS25,화곡지연점,서울특별시 강서구 초록마을로8길 82,0,0
세븐일레븐,화곡월정점,서울특별시 강서구 월정로30길 102,1,3
세븐일레븐,마곡롯데연구소점,서울특별시 강서구 마곡중앙로 201,0,1
CU,등촌오피스점,서울특별시 강서구 양천로66길 21,0,0
GS25,발산사랑점,서울특별시 강서구 우장산로2길 21,1,0
CU,염창로보점,서울특별시 강서구 공항대로71길 19,0,0
미니스톱,가양점,서울특별시 강서구 양천로 461,1,0
GS25,화곡행운점,서울특별시 강서구 강서로 47-6,1,0
GS25,염창세빛점,서울특별시 강서구 공항대로65길 51,0,0
GS25,화곡타운점,서울특별시 강서구 강서로18라길 23,1,0
CU,화곡소비자점,서울특별시 강서구 화곡로31길 53,1,0
GS25,방화행복점,서울특별시 강서구 양천로24길 93,1,0
CU,마곡사이언스타,서울특별시 강서구 마곡중앙6로 42,0,0
CU,화곡천량점,서울특별시 강서구 곰달래로 260,0,0
GS25,강서우림점,서울특별시 강서구 양천로 583,0,1
GS25,마곡SH점,서울특별시 강서구 공항대로 205,0,0
CU,방화행운점,서울특별시 강서구 방화대로45길 52,1,0
미니스톱,화곡사거리점,서울특별시 강서구 화곡로53가길 10-5,0,2
GS25,S9신방화역점,서울특별시 강서구 방화대로 301,0,1
GS25,화곡한빛,서울특별시 강서구 까치산로 71,0,2
GS25,강서로우장산점,서울특별시 강서구 강서로46길 47,1,0
