상호명,지점명,도로명주소,경도,위도
세븐일레븐,마곡W타워점,서울특별시 강서구 마곡중앙1로 14,126.8251914,37.55848006
GS25,방화한숲점,서울특별시 강서구 방화대로50길 17,126.8179428,37.57669859
GS25,S9양천향교역점,서울특별시 강서구 양천로 341,126.8407985,37.56875291
CU,우장산힐스테이트점,서울특별시 강서구 공항대로38길 80,126.8420339,37.55695251
GS25,등촌센트럴점,서울특별시 강서구 공항대로59다길 39,126.865724,37.55311883
CU,등촌3단지점,서울특별시 강서구 강서로56나길 37,126.8408043,37.56107618
세븐일레븐,강서염창점,서울특별시 강서구 양천로73가길 28,126.8736738,37.55053688
CU,강서웨스턴점,서울특별시 강서구 허준로 47,126.8465254,37.57101653
미니스톱,강서우장산점,서울특별시 강서구 강서로48길 47,126.8391039,37.55249066
GS25,방화초원로점,서울특별시 강서구 초원로 43,126.810192,37.56790778
세븐일레븐,마곡호서대기숙사점,서울특별시 강서구 강서로 399,126.8386506,37.56128028
미니스톱,서울희망점,서울특별시 강서구 방화대로6길 33,126.8186141,37.5549815
GS25,곰달래로,서울특별시 강서구 곰달래로31길 16,126.8514653,37.53164447
GS25,마곡루체점,서울특별시 강서구 마곡동로4길 23,126.8361861,37.55963415
GS25,화곡지연점,서울특별시 강서구 초록마을로8길 82,126.8478771,37.53910613
세븐일레븐,화곡월정점,서울특별시 강서구 월정로30길 102,126.8413007,37.53559082
세븐일레븐,마곡롯데연구소점,서울특별시 강서구 마곡중앙로 201,126.8282326,37.57170136
CU,등촌오피스점,서울특별시 강서구 양천로66길 21,126.8651549,37.55407747
GS25,발산사랑점,서울특별시 강서구 우장산로2길 21,126.8376465,37.55378282
CU,염창로보점,서울특별시 강서구 공항대로71길 19,126.8721575,37.54826981
미니스톱,가양점,서울특별시 강서구 양천로 461,126.852206,37.5630347
GS25,화곡행운점,서울특별시 강서구 강서로 47-6,126.846028,37.53206901
GS25,염창세빛점,서울특별시 강서구 공항대로65길 51,126.8699199,37.55031179
GS25,화곡타운점,서울특별시 강서구 강서로18라길 23,126.8478883,37.53543903
CU,화곡소비자점,서울특별시 강서구 화곡로31길 53,126.8404404,37.54438548
GS25,방화행복점,서울특별시 강서구 양천로24길 93,126.8154262,37.56905067
CU,마곡사이언스타,서울특별시 강서구 마곡중앙6로 42,126.8318545,37.560141
CU,화곡천량점,서울특별시 강서구 곰달래로 260,126.8617783,37.53201463
GS25,강서우림점,서울특별시 강서구 양천로 583,126.8643281,37.557106
GS25,마곡SH점,서울특별시 강서구 공항대로 205,126.8304004,37.55975718
CU,방화행운점,서울특별시 강서구 방화대로45길 52,126.8136437,37.57437586
미니스톱,화곡사거리점,서울특별시 강서구 화곡로53가길 10-5,126.847161,37.55107389
GS25,S9신방화역점,서울특별시 강서구 방화대로 301,126.816512,37.56767397
GS25,화곡한빛,서울특별시 강서구 까치산로 71,126.8468009,37.54506048
GS25,강서로우장산점,서울특별시 강서구 강서로46길 47,126.8390497,37.55087728
GS25,마곡LG정문점,서울특별시 강서구 마곡중앙6로 65,126.8347025,37.56041242
CU,마곡미라벨점,서울특별시 강서구 마곡서로 101,126.8235863,37.56266288
CU,뉴화곡우리마을,서울특별시 강서구 강서로7길 107,126.8419142,37.52884808
GS25,등촌캐빈점,서울특별시 강서구 공항대로51길 17,126.8573968,37.55518299
CU,마곡11단지점,서울특별시 강서구 공항대로 124,126.8208543,37.55933785
GS25,S9가양역점,서울특별시 강서구 양천로 485,126.8543682,37.56154197
세븐일레븐,화곡대원점,서울특별시 강서구 화곡로21길 43,126.8364487,37.54274238
GS25,등촌으뜸점,서울특별시 강서구 화곡로66길 149,126.8611914,37.55497638
미니스톱,강서드림점,서울특별시 강서구 화곡로 330,126.851179,37.55325752
GS25,화곡성당점,서울특별시 강서구 강서로 132,126.8425844,37.53891922
세븐일레븐,강서공항점,서울특별시 강서구 송정로4길 1-1,126.8109074,37.55850825
CU,등촌아름점,서울특별시 강서구 공항대로53길 23,126.859953,37.55454995
CU,마곡미라클점,서울특별시 강서구 방화대로34길 60,126.8198224,37.57022098
CU,마곡엠팰리체,서울특별시 강서구 마곡동로4길 15,126.8352327,37.55980495
CU,등촌심미점,서울특별시 강서구 공항대로59다길 1,126.8638569,37.55384873
세븐일레븐,롯데스카이파크점,서울특별시 강서구 하늘길 38,126.80076,37.56595623
GS25,화곡비젼점,서울특별시 강서구 강서로18바길 2,126.8501321,37.53520861
GS25,마곡점,서울특별시 강서구 마곡중앙1로 72,126.8198646,37.55894052
세븐일레븐,마곡행복점,서울특별시 강서구 마곡중앙2로 35,126.8305187,37.55798332
세븐일레븐,마곡열린점,서울특별시 강서구 공항대로 242,126.834314,37.55847137
세븐일레븐,화곡사랑,서울특별시 강서구 초록마을로34길 85,126.8445811,37.53931721
GS25,화곡그린힐점,서울특별시 강서구 초록마을로 89,126.8513767,37.54037465
CU,화곡곰달래점,서울특별시 강서구 곰달래로49길 15,126.8576437,37.53233512
CU,공항대로점,서울특별시 강서구 공항대로 549,126.8670584,37.55020327
GS25,화곡베스트점,서울특별시 강서구 월정로 112,126.8389679,37.52915253
